PCA1,PCA2,label,sentence
-0.059081633,0.035432693,grammatical_language,Un arbre petit neda.
-0.06311543,0.006573422,grammatical_language,Un gos brillant salta.
-0.058227215,0.024616733,grammatical_language,Un gat salta.
0.0152533855,0.011575031,grammatical_language,El cotxe petit corre.
-0.07600809,-0.0061767204,grammatical_language,Un llibre blau corre.
-0.015118764,0.028563188,grammatical_language,Un cotxe gran salta.
-0.009646246,-0.09495599,grammatical_language,Un llibre petit dorm.
-0.076352455,0.01028528,grammatical_language,Un gos gran vola.
-0.035871215,0.022364777,grammatical_language,Un cotxe gran vola.
-0.091331914,-0.005518315,grammatical_language,Un arbre petit pensa.
0.022075256,-0.081943326,grammatical_language,Un cotxe gran dorm.
0.014440347,0.022815622,grammatical_language,El llibre gran salta.
-0.09649875,0.017592732,grammatical_language,Un gos petit vola.
-0.062172886,-0.00832604,grammatical_language,Una casa vermella neda.
-0.013857289,-0.079802506,grammatical_language,Un gat lent dorm.
-0.080094084,0.01275492,grammatical_language,Una idea verda vola.
-0.021422217,-0.007872839,grammatical_language,Un científic lent treballa.
0.0128009515,0.041546065,grammatical_language,El riu petit neda.
-0.06795123,-0.037782926,grammatical_language,Un gat vermell pensa.
-0.044654958,0.0044418965,grammatical_language,Un ordinador feliç salta.
0.004766205,0.005112328,grammatical_language,El llibre gran pensa.
-0.09111592,-0.0009871413,grammatical_language,Una casa verda vola.
-0.039682496,0.04607868,grammatical_language,Una gran idea neda.
-0.045622226,0.014663458,grammatical_language,Una idea ràpida corre.
0.0072495095,-0.018999623,grammatical_language,La casa corre.
0.009696994,-0.0140652945,grammatical_language,L'ordinador lent corre.
0.007824269,-0.10447818,grammatical_language,Un gos gran dorm.
0.013969865,0.012564667,grammatical_language,Qualsevol científic vola.
-0.05601445,0.05075466,grammatical_language,Un gat neda.
-0.04039072,-0.018197149,grammatical_language,Un científic trist corre.
-0.038613115,-0.014275923,grammatical_language,Un gran científic pensa.
-0.035047717,-0.015346024,grammatical_language,Un ordinador gran funciona.
0.023330504,0.0033753014,grammatical_language,El gat corre.
-0.02978263,-0.0076072677,grammatical_language,Un cotxe verd corre.
-0.06602372,0.016293822,grammatical_language,Una idea trista salta.
-0.02837437,0.041469954,grammatical_language,Un cotxe trist neda.
0.020667918,-0.00019221182,grammatical_language,El cotxe trist funciona.
-0.08261682,0.0130365295,grammatical_language,Una casa lenta vola.
0.0013916945,0.013079585,grammatical_language,El científic feliç vola.
-0.054387376,0.04489548,grammatical_language,Un riu petit neda.
-0.004719248,-0.007858459,grammatical_language,La casa lenta funciona.
0.018324466,0.02513345,grammatical_language,El llibre salta.
-0.08187299,0.0069297575,grammatical_language,Una idea blava funciona.
-0.039968055,0.052862223,grammatical_language,Un gat ràpid neda.
-0.08743461,-0.02125133,grammatical_language,Una casa blava corre.
-0.07767699,-0.025022715,grammatical_language,Un ordinador blau corre.
0.0393616,-0.09470401,grammatical_language,El riu trist dorm.
-0.038149685,0.045814328,grammatical_language,Un cotxe gran neda.
-0.0011418079,-0.10528948,grammatical_language,Un arbre trist dorm.
-0.0022872004,0.0033440976,grammatical_language,El científic vola.
0.03295494,-0.11089682,grammatical_language,L'arbre verd dorm.
-0.078033075,-0.05203682,grammatical_language,Un gos vermell pensa.
-0.08009874,-0.019671736,grammatical_language,Un ordinador pensa.
-0.01326549,-0.00080651115,grammatical_language,La casa ràpida pensa.
-0.041088615,-0.09116039,grammatical_language,Una idea blava dorm.
-0.08638499,0.00088629976,grammatical_language,Un ordinador petit vola.
-0.02572365,-0.054117836,grammatical_language,Un ordinador vermell funciona.
0.027356734,-0.004044852,grammatical_language,El científic lent treballa.
-0.08519023,-0.0050844667,grammatical_language,Un gat trist pensa.
0.02519504,-0.084236786,grammatical_language,Un llibre ràpid dorm.
-0.033311203,0.0052312845,grammatical_language,Un gos ràpid treballa.
-0.03879912,-0.012633834,grammatical_language,Un gos brillant treballa.
-0.08423632,0.015799062,grammatical_language,Un gos vola.
-0.06314846,-0.019638412,grammatical_language,Un ordinador verd salta.
-0.10026686,0.0060418816,grammatical_language,Un gat petit pensa.
-0.00582538,-0.0043352735,grammatical_language,El gos blau treballa.
0.021044973,0.017341236,grammatical_language,El cotxe lent funciona.
-0.09532258,-0.023953538,grammatical_language,Una casa verda pensa.
-0.049669765,-0.018797167,grammatical_language,Un gat vermell salta.
-0.06611616,0.008386612,grammatical_language,Un arbre blau salta.
-0.04849692,0.003128904,grammatical_language,Un llibre petit funciona.
-0.0129020475,0.017475618,grammatical_language,La casa ràpida vola.
-0.050672133,0.003943544,grammatical_language,Un petit científic salta.
0.022695217,-0.12283794,grammatical_language,Un científic brillant dorm.
-0.043621697,0.0070564942,grammatical_language,Un gat vermell neda.
-0.049024403,-0.008883213,grammatical_language,Un científic feliç pensa.
-0.003600963,-0.007714087,grammatical_language,El llibre brillant pensa.
-0.03690627,-0.0057014786,grammatical_language,Un cotxe verd funciona.
0.047052775,-0.07120233,grammatical_language,El cotxe gran dorm.
-0.033773668,-0.0105405515,grammatical_language,Un arbre trist funciona.
-0.051228307,-0.02721078,grammatical_language,Un ordinador trist funciona.
-0.06552282,-0.030439388,grammatical_language,Una casa vermella salta.
-0.07062134,0.017274814,grammatical_language,Una idea trista vola.
-0.03921515,0.0415234,grammatical_language,Un llibre lent neda.
-0.057166453,0.02784625,grammatical_language,Un gat verd neda.
-0.028635664,-0.11134414,grammatical_language,Un gos blau dorm.
-0.02999128,0.013980123,grammatical_language,Un arbre gran salta.
-0.09404358,0.0028040279,grammatical_language,Una casa blava vola.
-0.039449193,0.018108487,grammatical_language,Un riu ràpid funciona.
0.033995733,-0.09410132,grammatical_language,L'arbre trist dorm.
0.039279096,-0.12989607,grammatical_language,L'arbre vermell dorm.
0.005298273,0.036601063,grammatical_language,El gos petit neda.
-0.033672947,0.00040713107,grammatical_language,Un arbre lent corre.
-0.041541483,0.01406472,grammatical_language,Un cotxe feliç pensa.
0.025114382,-0.020992944,grammatical_language,El cotxe vermell funciona.
0.008218791,-0.006273982,grammatical_language,El llibre brillant corre.
0.017075209,0.041149795,grammatical_language,Qualsevol gos neda.
-0.008066014,-0.01604912,grammatical_language,El científic blau corre.
-0.08266745,0.0010886717,grammatical_language,Una idea blava corre.
-0.02968379,0.0071744313,grammatical_language,Un llibre ràpid corre.
-0.08187299,0.0069297575,grammatical_language,Una idea blava funciona.
-0.038552642,0.024561232,grammatical_language,Un arbre lent salta.
-0.0071156784,0.0005148746,grammatical_language,La idea vermella neda.
-0.04795323,0.02979739,grammatical_language,Una casa neda.
