PCA1,PCA2,label,sentence
0.03065207,0.017333569,legal_code,"def f(name): return f""Hello, {name}!"""
0.06619365,0.038155366,legal_code,"def f(a, b): return a + b"
0.06523506,0.033625387,legal_code,"def f(a, b): return a - b"
0.064656675,0.038642153,legal_code,"def f(a, b): return a * b"
-0.020504441,0.041011497,legal_code,"def f(a, b): return a / b if b != 0 else 0"
0.0300426,0.061403852,legal_code,"def f(base, exponent): return base ** exponent"
0.03958738,0.074044906,legal_code,def f(number): return number % 2 == 0
0.027682906,0.067735754,legal_code,def f(number): return number % 2 != 0
0.04008578,0.052612826,legal_code,def f(iterable): return len(iterable)
-0.1090074,0.10313608,legal_code,def f(list_obj): return list_obj[0] if list_obj else None
-0.11661874,0.09978089,legal_code,def f(list_obj): return list_obj[-1] if list_obj else None
0.04375495,0.032338515,legal_code,def f(text): return text.capitalize()
0.046968296,0.04362322,legal_code,def f(text): return text.lower()
0.049078118,0.045049865,legal_code,def f(text): return text.upper()
0.051990915,0.03454292,legal_code,def f(text): return text[::-1]
0.02593443,0.027248388,legal_code,"def f(str1, str2): return str1 + str2"
0.00040561345,0.04557457,legal_code,"def f(start, end): return list(range(start, end))"
-0.03111426,0.07134085,legal_code,def f(numbers): return max(numbers) if numbers else None
-0.02921127,0.07147945,legal_code,def f(numbers): return min(numbers) if numbers else None
0.045214403,0.06931666,legal_code,def f(numbers): return sum(numbers)
-0.07190381,0.057435196,legal_code,def f(numbers): return sum(numbers) / len(numbers) if numbers else 0
-0.042032186,0.096492805,legal_code,"def f(element, list_obj): return element in list_obj"
-0.038974263,0.08356923,legal_code,"def f(list_obj, element): return list_obj + [element]"
-0.105407566,0.09333139,legal_code,"def f(list_obj, element): return [item for item in list_obj if item != element]"
-0.03846554,0.07343599,legal_code,def f(list_obj): return list(set(list_obj))
0.02815117,0.040937215,legal_code,"def f(key, value): return {key: value}"
-0.02923679,0.058442313,legal_code,"def f(dict_obj, key): return dict_obj.get(key)"
-0.09043943,0.0092538325,legal_code,"def f(dict_obj, key, value): new_dict = dict_obj.copy(); new_dict[key] = value; return new_dict"
-0.023711013,0.041462336,legal_code,def f(dict_obj): return list(dict_obj.keys())
-0.026592514,0.050070763,legal_code,def f(dict_obj): return list(dict_obj.values())
-0.015153081,0.08959814,legal_code,def f(list_obj): return not list_obj
0.05506231,0.058463085,legal_code,def f(text): return not text
0.009386234,0.061772007,legal_code,def f(dict_obj): return not dict_obj
-0.055385556,0.08801299,legal_code,"def f(list_obj, element): return list_obj.count(element)"
-0.032910716,0.0891146,legal_code,def f(list_obj): return sorted(list_obj)
-0.06994222,0.06679707,legal_code,"def f(list_obj): return sorted(list_obj, reverse=True)"
0.079703085,0.038146026,legal_code,def f(): return True
0.079148315,0.043515835,legal_code,def f(): return False
0.048560966,0.062078327,legal_code,def f(number): return abs(number)
-0.005803456,0.036497325,legal_code,"def f(number, decimals=0): return round(number, decimals)"
-0.029642673,0.033802066,legal_code,"def f(a, b): return a // b if b != 0 else 0"
-0.020990156,0.047923334,legal_code,"def f(a, b): return a % b if b != 0 else 0"
0.063985,0.040096164,legal_code,"def f(a, b): return a and b"
0.062701106,0.04474764,legal_code,"def f(a, b): return a or b"
0.08066441,0.029102739,legal_code,def f(a): return not a
0.056629416,0.04203147,legal_code,"def f(a, b): return a == b"
0.050242186,0.033767443,legal_code,"def f(a, b): return a != b"
0.06496184,0.04452069,legal_code,"def f(a, b): return a > b"
0.063968286,0.041632462,legal_code,"def f(a, b): return a < b"
0.056174863,0.036395267,legal_code,"def f(a, b): return a >= b"
0.05520365,0.034446236,legal_code,"def f(a, b): return a <= b"
0.03840436,0.06599949,legal_code,def f(obj): return type(obj)
-0.10680036,-0.037284244,legal_code,"def f(value): return int(value) if isinstance(value, (int, float, str)) and str(value).replace('.', '', 1).isdigit() else 0"
-0.10868737,-0.039302833,legal_code,"def f(value): return float(value) if isinstance(value, (int, float, str)) and str(value).replace('.', '', 1).isdigit() else 0.0"
0.038645394,0.065527976,legal_code,def f(value): return str(value)
-0.022479594,0.027943416,legal_code,"def f(items, separator=""""): return separator.join(items)"
-0.012384491,0.02842739,legal_code,"def f(text, separator="" ""): return text.split(separator)"
0.045655813,0.0395961,legal_code,def f(text): return text.strip()
0.009718123,0.054091442,legal_code,"def f(text, prefix): return text.startswith(prefix)"
0.009595633,0.052321646,legal_code,"def f(text, suffix): return text.endswith(suffix)"
0.007241651,0.058923952,legal_code,"def f(text, substring): return substring in text"
-0.0030030503,0.045799278,legal_code,"def f(text, old, new): return text.replace(old, new)"
0.006968138,0.05864489,legal_code,def f(numbers): return [n*n for n in numbers]
-0.032855306,0.044624623,legal_code,def f(numbers): return [n for n in numbers if n % 2 == 0]
0.0044592796,0.037835285,legal_code,"def f(keys, values): return dict(zip(keys, values))"
-0.01825731,0.041232627,legal_code,def f(dict_obj): return list(dict_obj.items())
-0.012420563,0.076335266,legal_code,def f(list_obj): return list_obj[:]
-0.003904487,0.042283334,legal_code,def f(dict_obj): return dict_obj.copy()
0.037369862,0.05554773,legal_code,def f(booleans): return all(booleans)
0.032821566,0.05821964,legal_code,def f(booleans): return any(booleans)
-0.010049461,0.056339443,legal_code,def f(numbers): return [n for n in numbers if n > 0]
-0.0094392905,0.05649988,legal_code,def f(numbers): return [n for n in numbers if n < 0]
0.071093634,0.066549495,legal_code,def f(number): return number + 1
0.07381694,0.05903089,legal_code,def f(number): return number - 1
-0.13715729,0.09770146,legal_code,"def f(list_obj, element): return list_obj.index(element) if element in list_obj else -1"
-0.15580228,0.0032051865,legal_code,"def f(list_obj, index1, index2): new_list = list_obj[:]; (new_list[index1], new_list[index2]) = (new_list[index2], new_list[index1]) if 0 <= index1 < len(new_list) and 0 <= index2 < len(new_list) else (0,0) ; return new_list if 0 <= index1 < len(list_obj) and 0 <= index2 < len(list_obj) else list_obj"
-0.08110014,0.01346712,legal_code,"def f(text): vowels = ""aeiouAEIOU""; return sum(1 for char in text if char in vowels)"
-0.100287594,0.0054479367,legal_code,"def f(text): vowels = ""aeiouAEIOU""; return sum(1 for char in text if char.isalpha() and char not in vowels)"
-0.12802744,-0.02821571,legal_code,"def f(text): cleaned_text = """".join(char.lower() for char in text if char.isalnum()); return cleaned_text == cleaned_text[::-1]"
-0.10913635,0.03060619,legal_code,"def f(list_obj): return [list_obj[i] for i in range(0, len(list_obj), 2)]"
-0.109683275,0.030209992,legal_code,"def f(list_obj): return [list_obj[i] for i in range(1, len(list_obj), 2)]"
