UMAP1,UMAP2,label,sentence
1.0984219,1.8323629,grammar_english,A small tree swims.
-0.0831743,5.002064,grammar_english,One bright dog jumps.
-0.55289,5.00447,grammar_english,Some cat jumps.
2.8750336,4.5063004,grammar_english,The small car runs.
1.6314762,4.6314726,grammar_english,One blue book runs.
-0.6147519,5.224574,grammar_english,A big car jumps.
4.8075585,3.2559307,grammar_english,Some small book sleeps.
1.5837677,3.2698078,grammar_english,Some big dog flies.
2.0893533,3.6140683,grammar_english,A big car flies.
3.0934448,6.7783084,grammar_english,One small tree thinks.
4.4149837,2.6488671,grammar_english,One big car sleeps.
-0.34517172,5.408395,grammar_english,The big book jumps.
1.5833226,3.2235355,grammar_english,A small dog flies.
1.8747286,1.7039704,grammar_english,One red house swims.
3.5332096,2.7800062,grammar_english,A slow cat sleeps.
1.7007077,6.741458,grammar_english,One green idea flies.
6.4872427,5.8707085,grammar_english,One slow scientist works.
0.6095695,1.9579432,grammar_english,The small river swims.
3.1186419,7.4167128,grammar_english,Some red cat thinks.
4.7046113,5.101686,grammar_english,A happy computer jumps.
3.0405574,6.60609,grammar_english,The big book thinks.
2.1559403,3.9357073,grammar_english,One green house flies.
0.8507621,7.7779937,grammar_english,Some big idea swims.
0.5869393,7.140142,grammar_english,A quick idea runs.
2.997687,4.064081,grammar_english,The house runs.
4.4560447,4.567813,grammar_english,The slow computer runs.
4.5237155,2.7653139,grammar_english,Some big dog sleeps.
7.010222,5.730322,grammar_english,Any scientist flies.
2.647683,2.0339713,grammar_english,One cat swims.
6.7168903,5.984722,grammar_english,One sad scientist runs.
6.143341,5.607773,grammar_english,One big scientist thinks.
3.9203928,5.1337385,grammar_english,One big computer works.
2.7512136,2.9374952,grammar_english,The cat runs.
2.9483533,4.9997563,grammar_english,Some green car runs.
0.21439496,7.54553,grammar_english,One sad idea jumps.
3.679688,1.4131318,grammar_english,A sad car swims.
4.162001,1.5138955,grammar_english,The sad car works.
2.7406945,3.7983804,grammar_english,One slow house flies.
6.9997015,5.9518285,grammar_english,The happy scientist flies.
0.64634424,1.9103029,grammar_english,One small river swims.
3.2638793,3.823582,grammar_english,The slow house works.
-0.32890517,5.416691,grammar_english,The book jumps.
1.3462353,6.837354,grammar_english,A blue idea works.
2.8134587,2.2271018,grammar_english,A quick cat swims.
1.6464152,4.342879,grammar_english,Some blue house runs.
4.8056855,4.9304786,grammar_english,Some blue computer runs.
5.1930203,1.7866098,grammar_english,The sad river sleeps.
2.9746683,1.3774538,grammar_english,A big car swims.
5.0881853,1.532716,grammar_english,A sad tree sleeps.
7.040318,5.727989,grammar_english,The scientist flies.
5.183649,2.217328,grammar_english,The green tree sleeps.
3.3743808,6.877818,grammar_english,A red dog thinks.
4.409234,6.0195074,grammar_english,A computer thinks.
3.0643535,6.64837,grammar_english,The quick house thinks.
1.6610895,6.9405503,grammar_english,A blue idea sleeps.
4.103361,4.8449726,grammar_english,A small computer flies.
3.7006161,5.250627,grammar_english,Some red computer works.
6.5304084,5.856194,grammar_english,The slow scientist works.
3.5930028,7.537845,grammar_english,A sad cat thinks.
4.672383,3.3079364,grammar_english,Some quick book sleeps.
2.0635815,4.8000875,grammar_english,Some quick dog works.
1.9983503,4.866845,grammar_english,A bright dog works.
